133		-0.7387212	-0.03015381	-2.7335	-0.7204576	-0.03015381	-2.735097	-0.7445739	-0.03196454	-2.691676	19:39:08	SmallOverlap(Clone) (UnityEngine.GameObject)	1.48353	1.22173	
134		-0.8750688	-0.007596254	-2.745912	-0.8637022	-0.007596254	-2.733723	-0.8772097	-0.01905107	-2.710238	19:39:14	MediumOverlap(Clone) (UnityEngine.GameObject)	2.391101	1.396263	
135		-0.7304688	-0.01703721	-2.778033	-0.7126054	-0.01703721	-2.782157	-0.7407808	-0.0133183	-2.761274	19:39:19	SmallOverlap(Clone) (UnityEngine.GameObject)	1.343904	1.308997	
136		-0.6379281	-0.03015381	-2.927426	-0.6295947	-0.03015381	-2.912992	-0.6438633	-0.009803772	-2.893514	19:39:23	MediumOverlap(Clone) (UnityEngine.GameObject)	5.759586	1.22173	
137		-0.6593785	-0.03015381	-2.717797	-0.6735126	-0.03015381	-2.708965	-0.6668351	-0.02679491	-2.703157	19:39:27	MediumOverlap(Clone) (UnityEngine.GameObject)	1.012291	1.22173	
138		-0.74105	-0.007596254	-3.033695	-0.7593582	-0.007596254	-3.034654	-0.7413982	0.000323534	-2.993517	19:39:32	SmallOverlap(Clone) (UnityEngine.GameObject)	4.764749	1.396263	
139		-0.8251919	-0.03015381	-2.819599	-0.8160252	-0.03015381	-2.803722	-0.813562	-0.02062559	-2.796093	19:39:36	SmallOverlap(Clone) (UnityEngine.GameObject)	2.617994	1.22173	
140		-0.8865747	-0.007596254	-2.966016	-0.8765445	-0.007596254	-2.979327	-0.896273	-0.02023387	-2.94165	19:39:40	MediumOverlap(Clone) (UnityEngine.GameObject)	3.787364	1.396263	
141		-0.8363485	-0.007596254	-2.854151	-0.8344321	-0.007596254	-2.835918	-0.8265876	-0.01393223	-2.828704	19:39:45	SmallOverlap(Clone) (UnityEngine.GameObject)	3.036873	1.396263	
142		-0.6706823	-0.01703721	-2.827996	-0.6767833	-0.01703721	-2.814292	-0.6752367	-0.01185226	-2.797192	19:39:50	LargeOverlap(Clone) (UnityEngine.GameObject)	0.418879	1.308997	
143		-0.6650997	-0.007596254	-2.961066	-0.6789361	-0.007596254	-2.973093	-0.6855228	-0.005373716	-2.926022	19:39:54	SmallOverlap(Clone) (UnityEngine.GameObject)	5.427974	1.396263	
144		-0.8251919	-0.01703721	-2.906898	-0.8168585	-0.01703721	-2.921332	-0.8370411	-0.02268457	-2.880039	19:39:58	MediumOverlap(Clone) (UnityEngine.GameObject)	3.665191	1.308997	
145		-0.6215551	-0.01703721	-2.879361	-0.6235862	-0.01703721	-2.895903	-0.6449802	-0.01427269	-2.854212	19:40:03	MediumOverlap(Clone) (UnityEngine.GameObject)	6.161012	1.308997	
146		-0.8223649	-0.03015381	-2.756395	-0.8085476	-0.03015381	-2.747075	-0.8203136	-0.02696371	-2.73953	19:40:07	MediumOverlap(Clone) (UnityEngine.GameObject)	2.164208	1.22173	
147		-0.7619291	-0.007596254	-3.034363	-0.745303	-0.007596254	-3.035525	-0.770203	-0.01337647	-3.00689	19:40:12	MediumOverlap(Clone) (UnityEngine.GameObject)	4.642576	1.396263	
148		-0.6788778	-0.03015381	-2.81409	-0.6893934	-0.03015381	-2.799073	-0.6778525	-0.02490306	-2.785202	19:40:17	SmallOverlap(Clone) (UnityEngine.GameObject)	0.6108652	1.22173	
149		-0.672363	-0.03015381	-2.711607	-0.657513	-0.03015381	-2.719173	-0.6894301	-0.02831006	-2.693557	19:40:21	MediumOverlap(Clone) (UnityEngine.GameObject)	1.099557	1.22173	
150		-0.7884689	-0.01703721	-2.697425	-0.8047084	-0.01703721	-2.701174	-0.7803101	-0.02916527	-2.674475	19:40:26	MediumOverlap(Clone) (UnityEngine.GameObject)	1.797689	1.308997	
151		-0.6218499	-0.01703721	-2.882147	-0.6195303	-0.01703721	-2.865643	-0.6419691	-0.0001084805	-2.857238	19:40:29	MediumOverlap(Clone) (UnityEngine.GameObject)	6.143559	1.308997	
152		-0.858532	-0.03015381	-2.793747	-0.8494546	-0.03015381	-2.779769	-0.844058	-0.0180974	-2.767445	19:40:33	MediumOverlap(Clone) (UnityEngine.GameObject)	2.565634	1.22173	
153		-0.920984	-0.007596254	-2.867295	-0.9212749	-0.007596254	-2.850631	-0.9214783	-0.01736593	-2.835035	19:40:37	MediumOverlap(Clone) (UnityEngine.GameObject)	3.159046	1.396263	
154		-0.7379164	-0.03015381	-2.77845	-0.7527704	-0.03015381	-2.776362	-0.7355316	-0.01829886	-2.756903	19:40:42	LargeOverlap(Clone) (UnityEngine.GameObject)	1.43117	1.22173	
155		-0.9106969	-0.03015381	-2.806021	-0.9169673	-0.03015381	-2.823248	-0.8973794	-0.01334476	-2.773495	19:40:46	SmallOverlap(Clone) (UnityEngine.GameObject)	2.792527	1.22173	
156		-0.6568612	-0.007596254	-3.008028	-0.6442812	-0.007596254	-2.999858	-0.6487237	0.007405043	-2.959412	19:40:50	LargeOverlap(Clone) (UnityEngine.GameObject)	5.288348	1.396263	
157		-0.6650732	-0.01703721	-2.846684	-0.661608	-0.01703721	-2.862986	-0.6783835	-0.005176544	-2.818581	19:40:57	MediumOverlap(Clone) (UnityEngine.GameObject)	0.2094395	1.308997	
158		-0.8331828	-0.03015381	-2.963972	-0.8446735	-0.03015381	-2.95433	-0.8311245	-0.01954532	-2.920707	19:41:01	LargeOverlap(Clone) (UnityEngine.GameObject)	4.014257	1.22173	
159		-0.5925844	-0.007596254	-2.798114	-0.585421	-0.007596254	-2.81499	-0.6098349	-0.004932165	-2.770104	19:41:06	SmallOverlap(Clone) (UnityEngine.GameObject)	0.4014257	1.396263	
160		-0.8022521	-0.007596254	-2.934385	-0.8168937	-0.007596254	-2.923351	-0.7976962	-0.004033327	-2.888231	19:41:11	SmallOverlap(Clone) (UnityEngine.GameObject)	4.066617	1.396263	
161		-0.682525	-0.01703721	-2.919768	-0.6919649	-0.01703721	-2.931425	-0.6988592	-0.003464222	-2.879512	19:41:15	LargeOverlap(Clone) (UnityEngine.GameObject)	5.602507	1.308997	
162		-0.6569105	-0.007596254	-2.775319	-0.6464907	-0.007596254	-2.786109	-0.6731718	-0.005321026	-2.747041	19:41:19	LargeOverlap(Clone) (UnityEngine.GameObject)	0.7679449	1.396263	
163		-0.8080966	-0.01703721	-2.800782	-0.8192438	-0.01703721	-2.810819	-0.7949651	-0.01806474	-2.776027	19:41:23	LargeOverlap(Clone) (UnityEngine.GameObject)	2.303835	1.308997	
164		-0.8765816	-0.007596254	-2.892287	-0.8734629	-0.007596254	-2.906959	-0.8838678	-0.0197928	-2.855595	19:41:27	LargeOverlap(Clone) (UnityEngine.GameObject)	3.351032	1.396263	
165		-0.817475	-0.007596254	-2.810824	-0.8290126	-0.007596254	-2.825072	-0.8041087	-0.02159834	-2.779146	19:41:31	SmallOverlap(Clone) (UnityEngine.GameObject)	2.460914	1.396263	
166		-0.831588	-0.007596254	-2.835852	-0.8378583	-0.007596254	-2.85308	-0.8094757	-0.007880926	-2.807216	19:41:35	SmallOverlap(Clone) (UnityEngine.GameObject)	2.792527	1.396263	
167		-0.6633874	-0.03015381	-2.871686	-0.6622248	-0.03015381	-2.855059	-0.6604103	-0.0133357	-2.846058	19:41:39	MediumOverlap(Clone) (UnityEngine.GameObject)	6.213372	1.22173	
168		-0.7942607	-0.03015381	-3.030888	-0.8087496	-0.03015381	-3.027005	-0.8032272	-0.01660347	-3.007062	19:41:42	LargeOverlap(Clone) (UnityEngine.GameObject)	4.45059	1.22173	
169		-0.6804439	-0.01703721	-2.709602	-0.6652182	-0.01703721	-2.716381	-0.6986381	-0.01751566	-2.680643	19:41:46	MediumOverlap(Clone) (UnityEngine.GameObject)	1.151917	1.308997	
170		-0.875	-0.007596254	-2.899409	-0.8793136	-0.007596254	-2.88331	-0.8677301	-0.01669145	-2.86394	19:41:52	MediumOverlap(Clone) (UnityEngine.GameObject)	3.403392	1.396263	
171		-0.6930383	-0.03015381	-2.800489	-0.7043589	-0.03015381	-2.790648	-0.69403	-0.03329492	-2.762523	19:41:56	LargeOverlap(Clone) (UnityEngine.GameObject)	0.8552113	1.22173	
172		-0.6249311	-0.01703721	-2.982733	-0.635161	-0.01703721	-2.993703	-0.6315711	0.003047228	-2.93919	19:42:01	LargeOverlap(Clone) (UnityEngine.GameObject)	5.532694	1.308997	
173		-0.6994357	-0.007596254	-2.985322	-0.6856281	-0.007596254	-2.979461	-0.6974361	0.001028776	-2.939718	19:42:05	LargeOverlap(Clone) (UnityEngine.GameObject)	5.113815	1.396263	
174		-0.6706822	-0.007596254	-2.901603	-0.678139	-0.007596254	-2.918352	-0.6854576	0.008102655	-2.863824	19:42:09	SmallOverlap(Clone) (UnityEngine.GameObject)	5.864306	1.396263	
175		-0.6665393	-0.03015381	-2.842448	-0.661486	-0.03015381	-2.860071	-0.6700191	-0.00950408	-2.809229	19:42:13	SmallOverlap(Clone) (UnityEngine.GameObject)	0.2792527	1.22173	
176		-0.8750688	-0.03015381	-2.983095	-0.8875722	-0.03015381	-2.969687	-0.871775	-0.0119648	-2.937472	19:42:17	SmallOverlap(Clone) (UnityEngine.GameObject)	3.892084	1.22173	
177		-0.635572	-0.01703721	-2.739483	-0.6467192	-0.01703721	-2.729446	-0.6450782	-0.01597142	-2.719601	19:42:22	LargeOverlap(Clone) (UnityEngine.GameObject)	0.8377581	1.308997	
178		-0.7454837	-0.03015381	-2.737341	-0.7604746	-0.03015381	-2.736818	-0.7384706	-0.02207088	-2.706543	19:42:26	LargeOverlap(Clone) (UnityEngine.GameObject)	1.53589	1.22173	
179		-0.6049752	-0.01703721	-2.957373	-0.612924	-0.01703721	-2.970094	-0.6188781	-0.0136435	-2.923114	19:42:31	LargeOverlap(Clone) (UnityEngine.GameObject)	5.72468	1.308997	
180		-0.8572854	-0.01703721	-2.939207	-0.8488975	-0.01703721	-2.951642	-0.8553988	-0.01438141	-2.890573	19:42:35	LargeOverlap(Clone) (UnityEngine.GameObject)	3.735005	1.308997	
